FiscalYear,TotalGrants,TotalFunding
2008,10,1894468
2009,9,2323207
2010,12,2760141
2011,9,4330214
2012,5,812346
2013,7,2674424
2014,6,2441155
2015,8,3546697
2016,9,3953736
2017,8,4474980
