FiscalYear,TotalGrants,TotalFunding
2008,69,21862353
2009,78,24369247
2010,72,23302722
2011,79,26832507
2012,80,26277553
2013,61,20994629
2014,55,17781184
2015,66,24811498
2016,75,28622125
2017,76,32047126
