FiscalYear,TotalGrants,TotalFunding
2008,7,1567110
2009,6,1381209
2010,7,1658052
2011,4,1207157
2012,5,1200199
2013,2,17000
2014,1,28000
2015,2,612591
2016,4,777862
2017,4,878742
