FiscalYear,TotalGrants,TotalFunding
2008,715,254429320
2009,902,332153109
2010,982,409057191
2011,880,362290753
2012,884,401185079
2013,781,325100161
2014,778,330409396
2015,795,334436189
2016,830,384159855
2017,906,420662930
