FiscalYear,TotalGrants,TotalFunding
2008,8,1920603
2009,5,1340881
2010,3,685671
2011,5,1977060
2012,8,9987574
2013,6,2558156
2014,6,4379625
2015,6,2512615
2016,6,2313129
2017,2,280261
