FiscalYear,TotalGrants,TotalFunding
2008,65,22214219
2009,70,22551654
2010,79,25314774
2011,69,24763754
2012,75,27286699
2013,79,23098836
2014,80,24594086
2015,67,27896041
2016,76,35673874
2017,88,38587812
