FiscalYear,TotalGrants,TotalFunding
2008,5,3486764
2009,12,6894894
2010,9,9798285
2011,10,5792920
2012,12,6062415
2013,13,3996993
2014,10,3976797
2015,11,4182439
2016,13,6500316
2017,13,6671091
