FiscalYear,TotalGrants,TotalFunding
2008,309,117562710
2009,377,148502331
2010,381,167302302
2011,342,142576610
2012,346,151092766
2013,319,151921965
2014,295,142520813
2015,286,130324237
2016,262,134857410
2017,273,132917526
