FiscalYear,TotalGrants,TotalFunding
2008,31,14298106
2009,37,19469014
2010,37,16768350
2011,30,14753303
2012,31,14862245
2013,31,25440105
2014,37,23730727
2015,40,27087738
2016,37,25224683
2017,47,30660791
