FiscalYear,TotalGrants,TotalFunding
2008,8,8693684
2009,9,13652798
2010,9,6882304
2011,9,9162085
2012,9,13963709
2013,6,7213859
2014,6,10236188
2015,9,14184584
2016,5,10907145
2017,5,12102325
