FiscalYear,TotalGrants,TotalFunding
2008,661,211918837
2009,877,290589966
2010,917,322465092
2011,872,308615631
2012,810,288484928
2013,685,248893914
2014,637,240446831
2015,614,227771511
2016,622,237111241
2017,621,247676781
