FiscalYear,TotalGrants,TotalFunding
2008,29,10096201
2009,34,11087872
2010,35,13819408
2011,37,16317997
2012,36,16072452
2013,24,12258861
2014,16,5377736
2015,17,6607062
2016,23,8328612
2017,26,10164457
