FiscalYear,TotalGrants,TotalFunding
2008,10,4194545
2009,11,4498624
2010,9,2198741
2011,11,3260171
2012,11,7949566
2013,9,8308583
2014,8,8223764
2015,5,2053083
2016,5,1290677
2017,2,477710
