FiscalYear,TotalGrants,TotalFunding
2008,203,134542927
2009,258,411140458
2010,282,414294809
2011,276,437645533
2012,271,457390732
2013,261,413559506
2014,266,432911185
2015,280,451117829
2016,277,478364115
2017,253,482163433
