FiscalYear,TotalGrants,TotalFunding
2008,196,72449209
2009,224,95457473
2010,235,130838931
2011,220,99059026
2012,227,101438135
2013,189,102739834
2014,186,100559533
2015,178,98329630
2016,164,84034233
2017,192,95196421
