FiscalYear,TotalGrants,TotalFunding
2008,79,26921034
2009,105,40195466
2010,120,49424421
2011,95,33903406
2012,87,41639681
2013,78,35025447
2014,80,41147120
2015,73,31246590
2016,80,29017050
2017,79,31848681
