FiscalYear,TotalGrants,TotalFunding
2008,938,412050082
2009,1185,756425100
2010,1188,762520293
2011,1134,733688975
2012,1086,793281757
2013,1004,701107160
2014,984,703195292
2015,1021,727600763
2016,1023,776502198
2017,1072,803416289
