FiscalYear,TotalGrants,TotalFunding
2008,45,22263825
2009,60,20351300
2010,56,19357995
2011,51,22015043
2012,49,22464281
2013,44,18252532
2014,54,23036176
2015,44,25106108
2016,44,34223372
2017,43,28514799
