FiscalYear,TotalGrants,TotalFunding
2008,11,2910316
2009,13,2456805
2010,10,2608414
2011,6,1616457
2012,9,2327337
2013,7,2567892
2014,8,2262898
2015,7,1989307
2016,6,2085705
2017,8,2637526
