FiscalYear,TotalGrants,TotalFunding
2008,210,77750722
2009,269,110455215
2010,291,128924622
2011,281,111716790
2012,280,117288419
2013,268,110444715
2014,229,100219598
2015,215,93483603
2016,236,126728829
2017,256,139364819
