FiscalYear,TotalGrants,TotalFunding
2008,141,40961302
2009,164,57046169
2010,175,73417412
2011,136,53531314
2012,136,58558438
2013,114,60159681
2014,117,62793458
2015,129,56484900
2016,156,74671832
2017,165,69746872
