FiscalYear,TotalGrants,TotalFunding
2008,7,3318847
2009,3,639295
2010,6,1893524
2011,8,1890791
2012,5,1526860
2013,8,11005312
2014,6,3154084
2015,8,10459868
2016,8,3645605
2017,8,3259159
