FiscalYear,TotalGrants,TotalFunding
2008,11,4927814
2009,16,8573310
2010,16,6526246
2011,10,5533608
2012,11,3787681
2013,8,3015170
2014,9,4559575
2015,13,4629443
2016,14,5339966
2017,13,4661007
