FiscalYear,TotalGrants,TotalFunding
2008,125,42987299
2009,163,58401877
2010,148,66941734
2011,129,54515723
2012,126,57949930
2013,95,47624295
2014,87,43476385
2015,93,33853983
2016,123,49276692
2017,133,76059620
