FiscalYear,TotalGrants,TotalFunding
2008,186,61906672
2009,229,92224471
2010,240,102946215
2011,237,98790563
2012,220,97580294
2013,219,95756633
2014,203,87214195
2015,181,78560461
2016,180,95046394
2017,198,93408323
