FiscalYear,TotalGrants,TotalFunding
2008,243,67660095
2009,305,104702126
2010,334,133075407
2011,271,102883481
2012,283,99383461
2013,268,107606068
2014,284,107208265
2015,311,115837281
2016,345,139765708
2017,401,176761331
