FiscalYear,TotalGrants,TotalFunding
2008,16,6826392
2009,11,3324946
2010,11,3405878
2011,11,4527392
2012,10,5796161
2013,11,6636631
2014,11,6401549
2015,8,3849804
2016,10,4252227
2017,9,3339156
