FiscalYear,TotalGrants,TotalFunding
2008,28,16424991
2009,44,29625545
2010,42,21423097
2011,46,23627758
2012,37,16088745
2013,33,16991009
2014,27,14617934
2015,29,16508493
2016,40,20118234
2017,36,21298453
