FiscalYear,TotalGrants,TotalFunding
2008,16,6467154
2009,33,12996944
2010,37,21646603
2011,25,9134301
2012,24,7043666
2013,24,22815185
2014,16,8560553
2015,15,7126019
2016,19,7678715
2017,24,9170786
