FiscalYear,TotalGrants,TotalFunding
2008,25,8776035
2009,43,19361597
2010,40,22964588
2011,29,15969179
2012,31,17461144
2013,29,15919602
2014,29,18789766
2015,25,13839550
2016,29,18468779
2017,28,16280312
