FiscalYear,TotalGrants,TotalFunding
2008,27,8170721
2009,36,12609116
2010,42,19378855
2011,37,14678672
2012,38,20740288
2013,32,18382762
2014,26,15566167
2015,24,11040038
2016,28,12490544
2017,21,10754722
