FiscalYear,TotalGrants,TotalFunding
2008,18,7727946
2009,22,13229704
2010,28,16314397
2011,23,11447242
2012,19,13206214
2013,20,17454529
2014,17,12376034
2015,17,11007397
2016,12,5568868
2017,19,7800992
