FiscalYear,TotalGrants,TotalFunding
2008,49,21745545
2009,73,27476020
2010,70,28762514
2011,58,19936393
2012,63,31995722
2013,46,24508840
2014,47,26716989
2015,47,22211180
2016,55,22629023
2017,59,25761261
