FiscalYear,TotalGrants,TotalFunding
2008,4,1126110
2009,3,930504
2010,5,1043064
2011,4,1976027
2012,4,1808227
2013,5,1750885
2014,6,1859559
2015,6,1107099
2016,2,274500
2017,3,687023
