FiscalYear,TotalGrants,TotalFunding
2008,4,4493395
2009,6,7796590
2010,2,8138098
2011,3,4450330
2012,3,11790636
2013,1,10785223
2014,1,1095585
2015,1,1141659
2016,1,1127454
2017,2,1603404
