FiscalYear,TotalGrants,TotalFunding
2008,38,24388098
2009,53,30232025
2010,68,48664346
2011,60,30612438
2012,67,41201213
2013,66,43144640
2014,54,33727765
2015,66,34340535
2016,65,342136157
2017,52,39721610
