FiscalYear,TotalGrants,TotalFunding
2008,5,3383972
2009,7,2042373
2010,8,1930300
2011,12,5591426
2012,6,4131833
2013,5,3092211
2014,4,1312858
2015,3,1881536
2016,4,1826209
2017,6,2251295
