FiscalYear,TotalGrants,TotalFunding
2008,4,1342151
2009,4,4045397
2010,4,2564317
2011,5,1891725
2012,3,1778834
2013,4,1927683
2014,3,1148787
2015,3,1130212
2016,2,767380
2017,1,57066
