FiscalYear,TotalGrants,TotalFunding
2008,740,292043357
2009,904,352346541
2010,948,409810145
2011,872,352249363
2012,822,360607989
2013,722,332179063
2014,698,332307550
2015,679,306677136
2016,733,352889405
2017,781,376030244
