FiscalYear,TotalGrants,TotalFunding
2008,34,14537704
2009,41,18913733
2010,50,18515678
2011,45,19011115
2012,37,17691816
2013,26,15135027
2014,23,13025886
2015,18,10232235
2016,24,39889836
2017,27,30125231
