FiscalYear,TotalGrants,TotalFunding
2008,7,2050826
2009,11,3648685
2010,12,3922077
2011,7,2061529
2012,11,2616415
2013,9,1947098
2014,6,1111160
2015,3,345395
2016,2,237584
