FiscalYear,TotalGrants,TotalFunding
2008,6,788256
2009,2,409506
2010,3,950289
2011,2,458298
2012,2,2191270
2013,1,2853387
2014,1,2668052
2015,1,3052779
2016,2,3548193
2017,2,4386930
