FiscalYear,TotalGrants,TotalFunding
2008,9,328103
2009,8,3621056
2010,4,407081
2011,2,985840
2012,5,2491351
2013,2,848042
2014,3,1226816
2015,4,1066001
2016,4,1684661
2017,3,1731304
