FiscalYear,TotalGrants,TotalFunding
2008,4,1197333
2009,2,463691
2010,1,338981
2011,2,546355
2012,1,466687
2013,1,340972
2014,1,412744
2015,2,540488
2016,2,489371
2017,3,1377975
