FiscalYear,TotalGrants,TotalFunding
2008,66,33307271
2009,75,31745690
2010,75,35085300
2011,65,29009409
2012,61,28727100
2013,55,29184775
2014,62,36666471
2015,68,37452920
2016,72,40989006
2017,75,41881953
