FiscalYear,TotalGrants,TotalFunding
2008,30,21603820
2009,41,269554888
2010,57,271750312
2011,45,25152685
2012,46,35296559
2013,34,289718666
2014,40,48924744
2015,30,20540718
2016,31,28202290
2017,34,30380727
