FiscalYear,TotalGrants,TotalFunding
2008,6,562089
2009,5,1587562
2010,2,515716
2011,4,1489650
2012,4,1372216
2013,8,1720195
2014,5,1331003
2015,6,1504377
2016,7,1486008
2017,11,2827779
