FiscalYear,TotalGrants,TotalFunding
2008,23,5868585
2009,18,5198769
2010,18,6556592
2011,15,3768438
2012,9,3915296
2013,7,5366003
2014,5,4571627
2015,7,6106877
2016,11,9450370
2017,12,9695003
