FiscalYear,TotalGrants,TotalFunding
2008,10,2240130
2009,9,3503636
2010,10,5649142
2011,10,6047709
2012,10,4754576
2013,8,10268591
2014,5,3360017
2015,7,14060077
2016,7,4197784
2017,7,2590160
