FiscalYear,TotalGrants,TotalFunding
2008,9,3776397
2009,11,6549265
2010,14,17316322
2011,7,5891161
2012,9,18932950
2013,5,17239733
2014,8,11060524
2015,9,5093040
2016,10,7988021
2017,11,10072107
