FiscalYear,TotalGrants,TotalFunding
2008,106,36139610
2009,125,48979491
2010,127,51236760
2011,128,62095687
2012,116,53920506
2013,107,46689946
2014,99,49118250
2015,90,37846855
2016,94,38603615
2017,112,65513715
