FiscalYear,TotalGrants,TotalFunding
2008,18,13982602
2009,25,16404028
2010,22,12555275
2011,21,8435492
2012,18,7106068
2013,17,5997790
2014,13,4635948
2015,11,5858939
2016,13,5637142
2017,19,10656032
