FiscalYear,TotalGrants,TotalFunding
2008,35,16145898
2009,53,272721840
2010,49,267568879
2011,44,21062605
2012,55,31788005
2013,55,291957781
2014,45,21643112
2015,49,27574681
2016,39,28069266
2017,44,31940114
