FiscalYear,TotalGrants,TotalFunding
2008,5,717961
2009,4,886222
2010,4,1991880
2011,3,1665602
2012,5,7318768
2013,5,8167587
2014,6,8214354
2015,4,507996
2016,4,1738030
2017,1,255116
