FiscalYear,TotalGrants,TotalFunding
2008,47,26336692
2009,72,41551948
2010,71,31633295
2011,72,38006732
2012,59,34211572
2013,46,36212012
2014,44,32954776
2015,46,33492015
2016,52,40929048
2017,60,38027093
