FiscalYear,TotalGrants,TotalFunding
2008,41,15328820
2009,51,17317563
2010,51,18182917
2011,47,21191618
2012,60,27957491
2013,52,26253067
2014,45,23330845
2015,40,20806148
2016,36,20924364
2017,31,16099614
