FiscalYear,TotalGrants,TotalFunding
2008,58,23989666
2009,77,36325084
2010,75,32229291
2011,65,27052171
2012,55,26537883
2013,53,22185595
2014,43,20932600
2015,44,27484904
2016,51,22110569
2017,58,27641794
