FiscalYear,TotalGrants,TotalFunding
2008,130,51167024
2009,166,72373652
2010,170,83841391
2011,129,58976751
2012,127,57132862
2013,107,50338252
2014,121,62477290
2015,118,57214881
2016,123,62416376
2017,141,64692201
