FiscalYear,TotalGrants,TotalFunding
2008,5,2745174
2009,5,2473576
2010,6,4893248
2011,3,1223680
2012,4,6441548
2013,2,6578697
2014,3,8411213
2015,3,2520959
2016,2,2485106
2017,3,3050369
