FiscalYear,TotalGrants,TotalFunding
2008,895,306933364
2009,1157,429325801
2010,1188,454338498
2011,1085,419601619
2012,1075,449951026
2013,912,354806532
2014,848,351438013
2015,879,376751323
2016,920,398951906
2017,986,422375100
