FiscalYear,TotalGrants,TotalFunding
2008,289,118777390
2009,331,149037505
2010,307,140374043
2011,292,124092829
2012,302,120487068
2013,210,98185018
2014,190,107862228
2015,193,104081392
2016,188,96655483
2017,177,91541432
