FiscalYear,TotalGrants,TotalFunding
2008,280,128069186
2009,326,145173494
2010,307,141310584
2011,292,130719889
2012,292,137329760
2013,274,127373480
2014,251,110371482
2015,260,110187018
2016,285,114903256
2017,270,124609920
