FiscalYear,TotalGrants,TotalFunding
2008,90,48786745
2009,124,54775520
2010,105,55103919
2011,102,51472541
2012,92,54942732
2013,86,44459185
2014,75,40111680
2015,86,58993106
2016,93,44066227
2017,72,37055242
