FiscalYear,TotalGrants,TotalFunding
2008,6,1250247
2009,5,1064346
2010,7,1658052
2011,4,1207157
2012,4,1175199
2013,2,17000
2014,1,28000
2015,2,612591
2016,4,777862
2017,4,878742
